ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/10/23,9539,9539,,94.40
2018/10/24,9334,9334,,93.05
2018/10/25,9182,9182,,91.96
2018/10/26,9205,9205,,92.71
2018/10/29,9087,9087,,92.05
2018/10/30,9045,9045,,92.15
2018/10/31,9151,9151,,93.68
2018/11/01,9299,9299,,95.46
2018/11/02,9485,9485,,97.85
2018/11/05,9739,9739,,101.23
2018/11/06,9698,9698,,101.04
2018/11/07,9698,9698,,101.56
2018/11/08,9808,9808,,102.82
2018/11/09,9767,9767,,102.70
2018/11/12,9595,9595,,101.16
2018/11/13,9460,9460,,100.00
2018/11/14,9505,9505,,100.48
2018/11/15,9497,9497,,101.62
2018/11/16,9626,9626,,103.25
2018/11/19,9602,9602,,103.47
2018/11/20,9600,9600,,103.80
2018/11/21,9458,9458,,102.79
2018/11/22,9523,9523,,103.95
2018/11/26,9446,9446,,103.40
2018/11/27,9551,9551,,104.55
2018/11/28,9625,9625,,106.43
2018/11/29,9755,9755,,108.17
2018/11/30,9771,9771,,108.59
2018/12/03,9770,9770,,108.65
2018/12/04,9962,9962,,111.00
2018/12/05,9849,9849,,110.69
2018/12/06,9759,9759,,109.78
2018/12/07,9545,9545,,107.36
2018/12/10,9501,9501,,107.53
2018/12/11,9379,9379,,106.44
2018/12/12,9450,9450,,108.28
2018/12/13,9582,9582,,110.29
2018/12/14,9657,9657,,111.67
2018/12/17,9511,9511,,110.30
2018/12/18,9419,9419,,109.29
2018/12/19,9360,9360,,109.51
2018/12/20,9367,9367,,109.81
2018/12/21,9226,9226,,108.65
2018/12/25,9045,9045,,106.92
2018/12/26,9068,9068,,107.26
2018/12/27,9132,9132,,108.02
2018/12/28,9142,9142,,108.13
2019/01/04,8837,8837,,105.98
2019/01/07,9062,9062,,108.90
2019/01/08,9180,9180,,111.84
2019/01/09,9164,9164,,112.23
2019/01/10,9306,9306,,114.48
2019/01/11,9354,9354,,115.48
2019/01/15,9298,9298,,115.22
