ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ÉoÉâÉìÉXÅiÇWéëéYãœìôå^Åj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/04/01,10864,10864,,233.76
2019/04/02,10921,10921,,235.39
2019/04/03,10945,10945,,237.73
2019/04/04,10960,10960,,238.09
2019/04/05,10976,10976,,238.42
2019/04/08,10967,10967,,238.30
2019/04/09,10965,10965,,238.26
2019/04/10,10932,10932,,238.35
2019/04/11,10963,10963,,239.60
2019/04/12,10984,10984,,241.16
2019/04/15,11031,11031,,242.75
2019/04/16,11022,11022,,243.60
2019/04/17,11007,11007,,244.01
2019/04/18,10984,10984,,244.48
2019/04/19,10985,10985,,244.58
2019/04/22,10996,10996,,245.11
2019/04/23,10973,10973,,244.61
2019/04/24,10988,10988,,244.94
2019/04/25,11004,11004,0,246.50
2019/04/26,10952,10952,,245.96
2019/05/07,10877,10877,,244.27
2019/05/08,10767,10767,,242.85
2019/05/09,10722,10722,,245.53
2019/05/10,10689,10689,,245.33
2019/05/13,10705,10705,,246.18
2019/05/14,10628,10628,,245.37
2019/05/15,10668,10668,,246.31
2019/05/16,10685,10685,,247.88
2019/05/17,10738,10738,,250.60
2019/05/20,10739,10739,,251.76
2019/05/21,10702,10702,,251.67
2019/05/22,10744,10744,,253.60
2019/05/23,10729,10729,,253.94
2019/05/24,10671,10671,,253.09
2019/05/27,10680,10680,,254.51
2019/05/28,10685,10685,,255.23
2019/05/29,10645,10645,,254.28
2019/05/30,10634,10634,,255.95
2019/05/31,10591,10591,,255.08
2019/06/03,10522,10522,,253.94
2019/06/04,10536,10536,,254.41
2019/06/05,10596,10596,,258.76
2019/06/06,10639,10639,,260.28
2019/06/07,10679,10679,,261.97
2019/06/10,10738,10738,,263.69
2019/06/11,10769,10769,,264.47
2019/06/12,10806,10806,,265.38
2019/06/13,10770,10770,,266.61
2019/06/14,10788,10788,,267.72
2019/06/17,10771,10771,,268.41
2019/06/18,10764,10764,,268.54
2019/06/19,10836,10836,,271.78
2019/06/20,10855,10855,,272.62
2019/06/21,10864,10864,,272.95
2019/06/24,10847,10847,,273.24
2019/06/25,10846,10846,,273.79
2019/06/26,10805,10805,,273.97
2019/06/27,10818,10818,,275.15
2019/06/28,10853,10853,,276.69
2019/07/01,10937,10937,,279.44
2019/07/02,10977,10977,,281.02
2019/07/03,10958,10958,,280.52
2019/07/04,11018,11018,,285.82
2019/07/05,11044,11044,,286.67
2019/07/08,11025,11025,,286.16
2019/07/09,11032,11032,,286.71
2019/07/10,11033,11033,,287.48
2019/07/11,11031,11031,,287.95
2019/07/12,11032,11032,,289.55
2019/07/16,11015,11015,,289.45
2019/07/17,11026,11026,,290.57
2019/07/18,10953,10953,,290.93
2019/07/19,10986,10986,,292.36
2019/07/22,10978,10978,,292.50
2019/07/23,10986,10986,,293.08
2019/07/24,11018,11018,,295.84
2019/07/25,11030,11030,,296.56
2019/07/26,11046,11046,,297.26
2019/07/29,11017,11017,,297.30
2019/07/30,11053,11053,,298.58
2019/07/31,11024,11024,,299.05
2019/08/01,11012,11012,,299.08
2019/08/02,10837,10837,,294.77
2019/08/05,10733,10733,,295.16
2019/08/06,10602,10602,,291.40
2019/08/07,10645,10645,,292.59
2019/08/08,10663,10663,,294.50
2019/08/09,10737,10737,,297.88
2019/08/13,10638,10638,,295.84
2019/08/14,10725,10725,,299.17
2019/08/15,10635,10635,,298.91
2019/08/16,10674,10674,,300.52
2019/08/19,10744,10744,,304.73
2019/08/20,10791,10791,,306.91
2019/08/21,10755,10755,,306.58
2019/08/22,10796,10796,,308.62
2019/08/23,10786,10786,,308.90
2019/08/26,10624,10624,,304.70
2019/08/27,10675,10675,,306.45
2019/08/28,10683,10683,,306.65
2019/08/29,10719,10719,,309.63
2019/08/30,10790,10790,,310.96
2019/09/02,10781,10781,,311.06
2019/09/03,10789,10789,,311.59
2019/09/04,10778,10778,,311.27
2019/09/05,10907,10907,,319.23
2019/09/06,10970,10970,,320.86
2019/09/09,11010,11010,,322.91
2019/09/10,11029,11029,,323.76
2019/09/11,11038,11038,,324.67
2019/09/12,11093,11093,,326.73
2019/09/13,11157,11157,,329.16
2019/09/17,11132,11132,,329.85
2019/09/18,11137,11137,,330.17
2019/09/19,11167,11167,,331.42
2019/09/20,11153,11153,,331.11
2019/09/24,11126,11126,,330.50
2019/09/25,11092,11092,,330.47
2019/09/26,11127,11127,,332.26
2019/09/27,11152,11152,,334.14
2019/09/30,11123,11123,,333.77
2019/10/01,11143,11143,,334.98
2019/10/02,11085,11085,,334.09
2019/10/03,10990,10990,,331.23
2019/10/04,11038,11038,,338.19
2019/10/07,11071,11071,,339.77
2019/10/08,11115,11115,,341.76
2019/10/09,11077,11077,,340.59
2019/10/10,11092,11092,,342.37
2019/10/11,11170,11170,,345.23
2019/10/15,11260,11260,,349.53
2019/10/16,11320,11320,,351.93
2019/10/17,11329,11329,,354.79
2019/10/18,11341,11341,,356.77
2019/10/21,11355,11355,,357.47
2019/10/23,11382,11382,,358.75
2019/10/24,11411,11411,,360.70
2019/10/25,11424,11424,,361.90
2019/10/28,11422,11422,,362.48
2019/10/29,11461,11461,,364.79
2019/10/30,11451,11451,,365.37
2019/10/31,11478,11478,,366.20
2019/11/01,11425,11425,,364.72
2019/11/05,11540,11540,,369.25
2019/11/06,11516,11516,,373.13
2019/11/07,11508,11508,,374.87
2019/11/08,11494,11494,,374.99
2019/11/11,11442,11442,,373.95
2019/11/12,11403,11403,,373.31
2019/11/13,11350,11350,,371.58
2019/11/14,11332,11332,,372.94
