ì˙ït,äÓèÄâøäz,èÉéëéYëçäz
20231229,20522.00,10628
20240104,20417.00,10584
20240105,20572.00,10684
20240109,20748.00,10995
20240110,20821.00,11116
20240111,21079.00,11319
20240112,21018.00,11375
20240115,21014.00,11430
20240116,21120.00,11523
20240117,21263.00,11601
20240118,21261.00,11849
20240119,21439.00,11992
20240122,21705.00,12216
20240123,21745.00,12275
20240124,21812.00,12592
20240125,21784.00,12632
20240126,21875.00,12722
20240129,21941.00,12817
20240130,21978.00,12915
20240131,21992.00,12994
20240201,21536.00,12709
20240202,21752.00,12890
20240205,22326.00,13502
20240206,22243.00,13495
20240207,22174.00,13546
20240208,22399.00,13726
20240209,22622.00,13942
20240213,22710.00,14039
20240214,22595.00,14009
20240215,22783.00,14490
20240216,22885.00,14625
20240219,22743.00,14701
20240220,22797.00,14801
20240221,22627.00,14691
20240222,22715.00,15295
20240226,23173.00,15644
20240227,23132.00,15694
20240228,23147.00,15776
20240229,23136.00,15823
20240301,23204.00,15857
20240304,23355.00,15991
20240305,23382.00,16325
20240306,23087.00,16216
20240307,23047.00,16306
20240308,23106.00,16412
20240311,22796.00,16259
20240312,22775.00,16296
20240313,23136.00,16885
20240314,23116.00,16929
20240315,23197.00,17062
20240318,23160.00,17049
20240319,23299.00,17348
20240321,23879.00,17844
20240322,24084.00,18034
20240325,24025.00,18373
20240326,23936.00,18342
20240327,23907.00,18408
20240328,24107.00,18638
20240329,24115.00,18681
20240401,24118.00,18720
20240402,24122.00,18723
20240403,23925.00,18999
20240404,23973.00,19092
20240405,23564.00,18822
20240408,23953.00,19180
20240409,23972.00,19353
20240410,23984.00,19478
20240411,23944.00,19478
20240412,24135.00,19826
20240415,23844.00,19723
20240416,23704.00,19633
20240417,23712.00,19862
20240418,23524.00,19755
20240419,23519.00,19778
20240422,23320.00,19673
20240423,23530.00,19815
20240424,23813.00,20434
20240425,23921.00,20536
20240426,23847.00,20491
20240430,24343.00,20948
20240501,24125.00,20770
20240502,23764.00,20515
20240507,24214.00,21273
20240508,24380.00,21461
20240509,24489.00,21717
20240510,24627.00,21861
20240513,24714.00,21966
20240514,24766.00,22207
20240515,24916.00,22545
20240516,24795.00,22451
