äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2023/11/29,10439,10439,134.01,
2023/11/30,10463,10463,134.74,
2023/12/1,10491,10491,135.08,
2023/12/4,10517,10517,135.39,
2023/12/5,10508,10508,136.72,
2023/12/6,10537,10537,137.05,
2023/12/7,10524,10524,136.99,
2023/12/8,10448,10448,136.03,
2023/12/11,10508,10508,136.79,
2023/12/12,10539,10539,143.87,
2023/12/13,10559,10559,144.68,
2023/12/14,10584,10584,145.06,
2023/12/15,10643,10643,145.88,
2023/12/18,10622,10622,145.54,
2023/12/19,10650,10650,146.33,
2023/12/20,10732,10732,147.59,
2023/12/21,10648,10648,146.52,
2023/12/22,10671,10671,147.31,
2023/12/25,10670,10670,147.5,
2023/12/26,10671,10671,147.6,
2023/12/27,10715,10715,148.21,
2023/12/28,10724,10724,148.33,
2023/12/29,10718,10718,148.88,
2024/1/4,10643,10643,148.07,
2024/1/5,10655,10655,148.17,
2024/1/9,10703,10703,149.8,
2024/1/10,10700,10700,149.97,
2024/1/11,10752,10752,155.71,
2024/1/12,10749,10749,155.9,
2024/1/15,10770,10770,156.23,
2024/1/16,10783,10783,156.38,
2024/1/17,10768,10768,156.16,
2024/1/18,10724,10724,155.81,
2024/1/19,10759,10759,156.36,
2024/1/22,10824,10824,157.33,
2024/1/23,10842,10842,157.61,
2024/1/24,10843,10843,157.91,
2024/1/25,10840,10840,157.85,
2024/1/26,10875,10875,158.34,
2024/1/29,10890,10890,158.95,
2024/1/30,10919,10919,159.46,
2024/1/31,10915,10915,159.99,
2024/2/1,10839,10839,158.78,
2024/2/2,10909,10909,159.89,
2024/2/5,10971,10971,162.01,
2024/2/6,10917,10917,161.2,
2024/2/7,10945,10945,161.84,
2024/2/8,10983,10983,162.53,
2024/2/9,11003,11003,162.9,
2024/2/13,11031,11031,168.77,
2024/2/14,10948,10948,167.55,
2024/2/15,11011,11011,169.03,
2024/2/16,11056,11056,169.68,
2024/2/19,11019,11019,169.4,
2024/2/20,11027,11027,169.61,
2024/2/21,11006,11006,169.28,
2024/2/22,11011,11011,169.64,
2024/2/26,11129,11129,171.52,
2024/2/27,11106,11106,171.19,
2024/2/28,11107,11107,171.85,
2024/2/29,11097,11097,171.97,
2024/3/1,11114,11114,172.56,
2024/3/4,11177,11177,173.48,
2024/3/5,11178,11178,174.79,
2024/3/6,11136,11136,174.12,
2024/3/7,11145,11145,174.42,
2024/3/8,11172,11172,174.83,
2024/3/11,11121,11121,174.08,
2024/3/12,11109,11109,180,
2024/3/13,11172,11172,181.5,
2024/3/14,11164,11164,181.44,
2024/3/15,11150,11150,181.23,
2024/3/18,11132,11132,180.88,
2024/3/19,11165,11165,181.76,
2024/3/21,11290,11290,183.85,
2024/3/22,11341,11341,184.67,
2024/3/25,11331,11331,184.77,
2024/3/26,11304,11304,184.3,
2024/3/27,11303,11303,184.77,
2024/3/28,11358,11358,185.84,
2024/3/29,11361,11361,186.21,
2024/4/1,11355,11355,186.46,
2024/4/2,11336,11336,186.14,
2024/4/3,11275,11275,185.14,
2024/4/4,11287,11287,186.57,
2024/4/5,11217,11217,185.42,
2024/4/8,11268,11268,186.27,
2024/4/9,11285,11285,186.74,
2024/4/10,11304,11304,193.72,
2024/4/11,11240,11240,192.61,
2024/4/12,11258,11258,193.27,
2024/4/15,11207,11207,192.43,
2024/4/16,11140,11140,191.31,
2024/4/17,11102,11102,190.94,
2024/4/18,11079,11079,190.57,
2024/4/19,11067,11067,190.39,
2024/4/22,11037,11037,189.87,0
2024/4/23,11091,11091,190.78,
2024/4/24,11165,11165,192.42,
2024/4/25,11161,11161,192.32,
2024/4/26,11130,11130,191.78,
2024/4/30,11271,11271,194.72,
2024/5/1,11191,11191,193.47,
2024/5/2,11142,11142,193.17,
2024/5/7,11299,11299,195.9,
2024/5/8,11338,11338,197.88,
2024/5/9,11346,11346,198.25,
2024/5/10,11383,11383,205.99,
2024/5/13,11393,11393,206.14,
2024/5/14,11412,11412,206.82,
2024/5/15,11446,11446,207.37,
2024/5/16,11475,11475,207.83,
2024/5/17,11504,11504,208.66,
2024/5/20,11509,11509,208.82,
2024/5/21,11520,11520,209.03,
2024/5/22,11525,11525,209.37,
2024/5/23,11513,11513,209.18,
2024/5/24,11456,11456,208.16,
2024/5/27,11482,11482,208.47,
2024/5/28,11491,11491,208.64,
2024/5/29,11479,11479,208.42,
2024/5/30,11411,11411,208.52,
2024/5/31,11382,11382,208.01,
2024/6/3,11447,11447,209.18,
2024/6/4,11462,11462,209.46,
2024/6/5,11438,11438,210.49,
2024/6/6,11532,11532,212.2,
2024/6/7,11531,11531,212.35,
2024/6/10,11521,11521,212.18,
2024/6/11,11531,11531,212.45,
2024/6/12,11539,11539,220.36,
2024/6/13,11599,11599,221.56,
2024/6/14,11624,11624,222.07,
2024/6/17,11636,11636,222.31,
2024/6/18,11668,11668,222.91,
2024/6/19,11711,11711,224.25,
2024/6/20,11713,11713,224.32,
2024/6/21,11718,11718,224.42,
2024/6/24,11722,11722,224.88,
2024/6/25,11718,11718,224.92,
2024/6/26,11736,11736,225.29,
2024/6/27,11737,11737,225.91,
2024/6/28,11754,11754,226.45,
2024/7/1,11727,11727,226.2,
2024/7/2,11733,11733,226.81,
2024/7/3,11767,11767,228.9,
2024/7/4,11817,11817,229.93,
2024/7/5,11809,11809,229.81,
2024/7/8,11843,11843,230.48,
2024/7/9,11861,11861,230.97,
2024/7/10,11871,11871,238.91,
2024/7/11,11941,11941,240.32,
2024/7/12,11868,11868,239.27,
2024/7/16,11894,11894,239.87,
